ORISPL,NAMEPCAP,GENNTAN,weighted_coal_CAPFAC,weighted_coal_AGE,coal_FUELS,num_coal_GENS,YEAR,NONcoal_FUELS,PNAME,PLGENACL,PLSO2AN,PLPRMFL,PLCLPR,SECTOR,FIPSST,FIPSCNTY,LAT,LON
1364.0,1717.1999999999998,10374395.0,0.6941127031504005,31.803983228511242,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Mill Creek,10347175.998,24234.042,BIT,99.7376,not reported,21,111.0,38.0531,-85.91
1374.0,445.3,2452535.0,0.6288759114548824,38.66494498091197,"['BIT', 'BIT']",2,2009,0,Elmer Smith,2390872.708,6722.994,BIT,97.4858,not reported,21,59.0,37.7958,-87.0597
1378.0,2558.2,14253946.0,0.6498678888919601,42.85270893597044,"['BIT', 'BIT', 'SUB']",3,2009,0,Paradise,14251647.767,33805.716,BIT,99.9839,not reported,21,177.0,37.2608,-86.9783
1379.0,1750.0,7451117.0,0.49965320300298605,54.90000000000009,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT']",10,2009,0,Shawnee,7436369.486,27421.501,BIT,99.8021,not reported,21,145.0,37.1517,-88.775
1381.0,602.0,2666358.0,0.5075605788495019,39.02159468438549,"['BIT', 'BIT', 'BIT']",3,2009,0,Kenneth C Coleman,2660339.771,3893.075,BIT,99.7743,not reported,21,91.0,37.9628,-86.7917
1382.0,405.0,1577479.0,0.44704157589419574,35.493827160493765,"['BIT', 'BIT']",2,2009,0,HMP&L Station Two Henderson,1575057.966,4809.985,BIT,99.8465,not reported,21,101.0,37.6472,-87.5028
1383.0,96.0,622.0,0.0007,43.0,['BIT'],1,2009,['DFO'],Robert A Reid,11700.824,556.25,BIT,100.0,not reported,21,233.0,37.6467,-87.5033
1384.0,344.0,1584812.0,0.5293133550856506,41.320930232557885,"['BIT', 'BIT']",2,2009,0,Cooper,1582620.811,15158.662,BIT,99.8617,not reported,21,199.0,37.0,-84.5917
1385.0,216.0,821272.0,0.43706145418326686,51.625,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Dale,818662.029,7282.764,BIT,99.6822,not reported,21,49.0,37.8807,-84.2634
1393.0,614.6,3520130.0,0.6537999999999999,27.000000000000227,['SUB'],1,2009,"['NG', 'NG']",R S Nelson,3382109.107,15020.628,SUB,72.6141,not reported,22,19.0,30.2861,-93.2917
